"","recipe","sum(l_h2o_blue)"
"1","[CYO Grill Component] Bacon",34.6406776822533
"2","[CYO Grill Component] Black Bean Burger",54.9888227801747
"3","[CYO Grill Component] Burger",88.8793607464882
"4","[CYO Grill Component] Chicken Sandwich",69.470648861248
"5","[CYO Grill Component] Chicken Tenders",117.174791496587
"6","[CYO Grill Component] Fries",2.72997334161235
"7","[CYO Grill Component] Impossible Burger",23.2535935181063
"8","[CYO Grill Component] Salmon Burger",44.697222176261
"9","[CYO Grill Component] Sweet Potato Fries",3.97622481710592
"10","[CYO Grill Component] Toppings, American Cheese",4.19101736174331
"11","[CYO Grill Component] Toppings, Blue Cheese",0.5064387138243
"12","[CYO Grill Component] Toppings, Cheddar Cheese",4.19101736174331
"13","[CYO Grill Component] Toppings, Lettuce",3.6126687939468
"14","[CYO Grill Component] Toppings, Pepper Jack Cheese",4.19101736174331
"15","[CYO Grill Component] Toppings, Provolone Cheese",4.19101736174331
"16","[CYO Grill Component] Toppings, Red Onion",0.0324281392706443
"17","[CYO Grill Component] Toppings, Sauteed Mushrooms",3.62353612140658
"18","[CYO Grill Component] Toppings, Sauteed Onions",0.522685779529373
"19","[CYO Grill Component] Toppings, Tomato",1.47901452817344
"20","[CYO Grill Component] Toppings, Vegan Cheese",1.92240847858519
"21","[CYO Pasta Component] Alfredo Sauce",7.29397114498673
"22","[CYO Pasta Component] Asiago Cheese",1.05751095515845
"23","[CYO Pasta Component] Breaded Chicken Breast",42.3133900269654
"24","[CYO Pasta Component] Breadstick",8.24716209673653
"25","[CYO Pasta Component] Creamy Pesto Sauce",10.9938165626986
"26","[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce",8.19878474927913
"27","[CYO Pasta Component] Creamy Spinach Alfredo Sauce",7.38374722960641
"28","[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce",12.7369631287071
"29","[CYO Pasta Component] Grilled Chicken",48.6854955737768
"30","[CYO Pasta Component] Hot Italian Pork Sausage",43.8859936852871
"31","[CYO Pasta Component] Linguine Pasta",11.276157486668
"32","[CYO Pasta Component] Marinara Pasta Sauce",8.06879119617455
"33","[CYO Pasta Component] Meatless Meatballs",9.18221950556161
"34","[CYO Pasta Component] Mild Italian Sausage",43.8859936852871
"35","[CYO Pasta Component] Olive & Caper Topping",20.2131351486787
"36","[CYO Pasta Component] Parmesan Cheese",0.817167556258804
"37","[CYO Pasta Component] Parsley Garnish",0.230195088768416
"38","[CYO Pasta Component] Penne Pasta",11.276157486668
"39","[CYO Pasta Component] Pork & Beef Meatball",44.9473237844816
"40","[CYO Pasta Component] Roasted Cherry Tomatoes",14.3727904624167
"41","[CYO Pasta Component] Sauteed Broccoli",1.32295310556103
"42","[CYO Pasta Component] Sauteed Mushrooms",4.60554275028426
"43","[CYO Pasta Component] Sauteed Onions",2.87214406439808
"44","[CYO Pasta Component] Sauteed Pepper Medley",2.40397738755043
"45","[CYO Pasta Component] Sauteed Zucchini & Summer Squash",1.29551754979567
"46","[CYO Ramen Component] Chicken Bowl",104.607642341871
"47","[CYO Ramen Component] Ginger Tare",0.0220745767324265
"48","[CYO Ramen Component] Tofu Bowl",91.9886822989085
